Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP▼,Awards,Player-additional
1,LeBron James,26,MIA,SF,79,79,3063,27.3,0.594,0.188,0.446,3.3,18.7,11.4,34.9,2.1,1.3,13.8,31.5,10.3,5.3,15.6,0.244,6.3,1.8,8.1,7.8,MVP-3DPOY-9ASNBA1,jamesle01
2,Derrick Rose,22,CHI,PG,81,81,3026,23.5,0.55,0.241,0.348,3.2,9.4,6.4,38.7,1.5,1.3,13.1,32.2,8.3,4.8,13.1,0.208,6.3,0.5,6.8,6.7,MVP-1ASNBA1,rosede01
3,Chris Paul,25,NOH,PG,80,80,2880,23.7,0.578,0.197,0.414,1.6,12.3,6.9,45.8,3.5,0.1,13.9,21.1,9.5,4.4,13.9,0.232,4.4,2.8,7.1,6.7,MVP-13DPOY-12ASNBA3,paulch01
4,Dwyane Wade,29,MIA,SG,76,76,2823,25.6,0.581,0.149,0.471,5.5,14.4,10.2,23.5,2.1,2.4,12.4,31.6,8.1,4.7,12.8,0.218,5.5,1.1,6.6,6.1,MVP-7DPOY-16ASNBA2,wadedw01
5,Dwight Howard,25,ORL,C,78,78,2935,26.1,0.616,0.007,0.877,12.6,30.6,21.8,6.8,1.9,4.9,16.2,27.2,6.7,7.7,14.4,0.235,2.9,2.4,5.3,5.4,MVP-2DPOY-1ASNBA1,howardw01
6,Kevin Durant,22,OKC,SF,78,78,3038,23.6,0.589,0.269,0.439,2.3,17.7,10.3,13.2,1.5,1.8,10.6,30.6,8.6,3.3,12,0.189,5.2,-0.3,4.9,5.3,MVP-5ASNBA1,duranke01
7,Pau Gasol,30,LAL,C,82,82,3037,23.3,0.589,0.003,0.384,10.3,20.5,15.6,15.1,0.8,3.3,9.8,21.8,10,4.7,14.7,0.232,3.9,0.9,4.8,5.2,ASNBA2,gasolpa01
8,Kobe Bryant,32,LAL,SG,82,82,2779,23.9,0.548,0.217,0.356,3.5,13.3,8.5,26.7,1.9,0.3,11.4,35.1,6.8,3.5,10.3,0.178,5.4,-0.2,5.2,5,MVP-4DPOY-11ASNBA1,bryanko01
9,Paul Pierce,33,BOS,SF,80,80,2774,19.7,0.62,0.291,0.44,1.6,16.6,9.5,16.1,1.5,1.4,12.3,24,6.5,5.1,11.6,0.201,3,1.6,4.6,4.6,AS,piercpa01
10,Manu Ginóbili,33,SAS,SG,80,79,2426,21.7,0.581,0.433,0.403,2.1,11.8,7.1,26.4,2.6,0.8,12.7,26,6.6,3.2,9.9,0.195,4.1,1.3,5.4,4.5,MVP-8ASNBA3,ginobma01
11,Dirk Nowitzki,32,DAL,PF,73,73,2504,23.4,0.612,0.142,0.376,2.4,20.8,12,14.2,0.8,1.4,9.1,28.2,7.8,3.3,11.1,0.213,4.3,0.8,5.1,4.5,MVP-6ASNBA2,nowitdi01
12,Russell Westbrook,22,OKC,PG,82,82,2847,23.6,0.538,0.074,0.454,5.2,10.3,7.8,42.7,2.8,0.8,15.9,31.6,6.3,3.1,9.4,0.159,4.3,-0.1,4.2,4.4,ASNBA2,westbru01
13,Kevin Love,22,MIN,PF,73,73,2611,24.3,0.593,0.206,0.486,13.7,34.2,23.6,11.8,0.9,0.8,11.1,22.9,8.9,2.5,11.4,0.21,5.7,-1.3,4.4,4.2,MIP-1AS,loveke01
14,Al Horford,24,ATL,C,77,77,2704,20.7,0.587,0.004,0.204,8.2,23.7,16,17.5,1.2,2.3,10.6,19.7,6.4,3.7,10.1,0.179,2.5,1.1,3.6,3.9,ASNBA3,horfoal01
15,Kevin Garnett,34,BOS,PF,71,71,2220,20.6,0.575,0.006,0.264,4.9,28.7,17.5,13.5,2.3,2,11.1,22.3,3.4,5.6,9,0.194,1.8,2.9,4.7,3.8,DPOY-2AS,garneke01
16,Lamar Odom,31,LAL,PF,82,35,2639,19.4,0.589,0.199,0.275,7.8,22.2,15.2,15.5,0.9,1.8,12.2,19.7,6.1,4,10.1,0.184,2.8,0.8,3.5,3.7,6MOY-1,odomla01
17,Blake Griffin,21,LAC,PF,82,82,3112,21.9,0.549,0.017,0.505,10.2,26.9,18.6,18.7,1,1.1,11.7,27.3,6.5,3.4,9.8,0.152,3,-0.3,2.6,3.6,MVP-10ROY-1AS,griffbl01
18,Ray Allen,35,BOS,SG,80,80,2890,16.4,0.615,0.387,0.224,2.3,9,5.8,12.7,1.4,0.4,9.8,19.8,5.8,4.2,10,0.166,2.3,0.6,2.9,3.6,AS,allenra02
19,Kevin Martin,27,HOU,SG,80,80,2603,21.4,0.601,0.362,0.528,1.2,10,5.6,13,1.6,0.4,10.5,29.6,8,1.5,9.5,0.175,4.3,-1,3.4,3.5,,martike02
20,Tim Duncan,34,SAS,C,76,76,2156,21.9,0.537,0.005,0.307,9.3,26.8,18.3,15.7,1.2,4.8,11.4,22.9,3.7,4,7.7,0.171,2.2,2.2,4.4,3.5,DPOY-17AS,duncati01
