Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,LeBron James,24,CLE,SF,81,81,3054,31.7,0.591,0.238,0.472,4.3,19,11.9,38,2.4,2.4,11,33.8,13.7,6.5,20.3,0.318,9.5,3.7,13.2,11.8,MVP-1DPOY-2ASNBA1,jamesle01
2,Chris Paul,23,NOH,PG,78,78,3002,30,0.599,0.14,0.418,2.8,14.6,8.7,54.5,3.9,0.3,13.5,27.5,13.3,5,18.3,0.292,7.2,3.8,11,9.9,MVP-5DPOY-6ASNBA2,paulch01
3,Dwyane Wade,27,MIA,SG,79,79,3048,30.4,0.574,0.16,0.443,3.5,12.2,7.8,40.3,3,2.8,11.6,36.2,10.3,4.4,14.7,0.232,8.2,2.4,10.6,9.6,MVP-3DPOY-3ASNBA1,wadedw01
4,Brandon Roy,24,POR,SG,78,78,2903,24,0.573,0.167,0.383,4.4,11.6,7.9,25.4,1.7,0.6,9,27.4,10.9,2.6,13.5,0.223,6,0.1,6.2,6,MVP-9ASNBA2,roybr01
5,Kobe Bryant,30,LAL,SG,82,82,2960,24.4,0.561,0.196,0.329,3.5,12.8,8.2,23.8,2.1,1,9.7,32.2,8.6,4,12.7,0.206,5.6,0.3,5.9,5.9,MVP-2DPOY-7ASNBA1,bryanko01
6,Pau Gasol,28,LAL,C,81,81,2999,22.2,0.617,0.002,0.42,10,19.3,14.7,14.8,0.9,2.1,11.3,20.4,9.8,4.2,13.9,0.223,4,0.5,4.5,5,ASNBA3,gasolpa01
7,Dwight Howard,23,ORL,C,79,79,2821,25.4,0.6,0.002,0.867,13.8,29.5,21.8,7.3,1.4,5.9,15.1,26.1,6.2,7.6,13.8,0.234,2.1,2.4,4.5,4.7,MVP-4DPOY-1ASNBA1,howardw01
8,Tim Duncan,32,SAS,C,75,75,2524,24.4,0.549,0.002,0.436,9.6,27.9,18.9,19.3,0.8,3.7,11.1,28.5,5,5,10.1,0.191,3.4,2,5.4,4.7,MVP-11DPOY-11ASNBA2,duncati01
9,Ray Allen,33,BOS,SG,79,79,2876,17.3,0.624,0.467,0.239,2.9,8.6,5.9,12.6,1.3,0.4,10.4,20.8,7.4,3.7,11.1,0.186,3.7,0.3,4,4.3,AS,allenra02
10,Andre Iguodala,25,PHI,SF,82,82,3269,18.4,0.56,0.228,0.454,3.3,14,8.6,22.4,2.1,0.9,13.9,22.3,5.6,3.5,9.2,0.134,2.6,0.6,3.2,4.3,DPOY-13,iguodan01
11,Danny Granger,25,IND,SF,67,66,2424,21.8,0.584,0.352,0.36,2.2,13.4,7.7,13.1,1.4,3,10,29.6,5.6,2.4,8,0.158,4.9,-0.1,4.8,4.2,MIP-1AS,grangda01
12,Dirk Nowitzki,30,DAL,PF,81,81,3050,23.1,0.564,0.105,0.337,3.3,22.1,12.8,12.1,1,1.5,7.8,30.3,7.5,3.4,10.9,0.171,3.7,-0.3,3.4,4.2,MVP-10ASNBA1,nowitdi01
13,Rashard Lewis,29,ORL,PF,79,79,2859,16.8,0.58,0.509,0.247,3.7,13.9,8.9,12.5,1.5,1.3,11.6,22,4.7,4.8,9.5,0.16,2.7,1,3.7,4.1,AS,lewisra02
14,Jason Kidd,35,DAL,PG,81,81,2886,16.9,0.55,0.523,0.17,3.4,16.4,9.9,34.7,2.9,1,21.8,13.5,4.6,3.9,8.5,0.141,1.6,1.9,3.6,4,,kiddja01
15,Rajon Rondo,22,BOS,PG,80,80,2642,18.8,0.543,0.063,0.353,4.8,13.9,9.6,39.7,3,0.3,19.2,19.2,4.8,5.1,9.9,0.179,1.9,2.1,4,4,DPOY-10,rondora01
16,Paul Pierce,31,BOS,SF,81,81,3035,17.7,0.582,0.257,0.468,2.4,15.4,9.2,16.3,1.4,0.7,13.8,25.4,5.5,4.8,10.3,0.164,2.4,0.7,3.1,3.9,MVP-7ASNBA2,piercpa01
17,Kevin Durant,20,OKC,SF,74,74,2885,20.8,0.577,0.165,0.377,3,16.4,9.6,13.5,1.7,1.4,12.2,28.3,5.2,2.7,7.9,0.132,3.4,-0.1,3.3,3.8,,duranke01
18,Chauncey Billups,32,2TM,PG,79,79,2789,18.8,0.592,0.405,0.467,1.4,8.4,5,28.9,1.7,0.5,13,21.7,7.9,2.2,10.1,0.174,3.8,-0.5,3.4,3.8,MVP-6ASNBA3,billuch01
19,Deron Williams,24,UTA,PG,68,68,2505,21.1,0.573,0.23,0.39,1.1,8.1,4.6,47.8,1.5,0.6,16.5,24.7,6.5,1.9,8.4,0.16,4.8,-0.9,4,3.8,,willide01
20,Gerald Wallace,26,CHA,SF,71,71,2669,18.6,0.585,0.162,0.56,5.2,20.3,12.8,12.4,2.5,2.1,12.8,20.5,4.9,4.6,9.5,0.172,1.3,2.3,3.5,3.7,,wallage01
