Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,LeBron James,22,CLE,SF,78,78,3190,24.5,0.552,0.191,0.432,3,16.6,9.6,29.1,2.1,1.3,11.5,31,8,5.7,13.7,0.206,5.9,2.2,8.1,8.1,MVP-5ASNBA2,jamesle01
2,Dirk Nowitzki,28,DAL,PF,78,78,2820,27.6,0.605,0.129,0.411,5.3,23.9,14.8,17.8,1,1.7,9.5,28.9,11.8,4.5,16.3,0.278,7.2,1.2,8.3,7.4,MVP-1ASNBA1,nowitdi01
3,Tim Duncan,30,SAS,C,80,80,2726,26.1,0.579,0.008,0.502,9.8,27,18.8,18.8,1.3,5.1,14,27.9,6.3,6.8,13,0.23,3.8,3.2,7,6.2,MVP-4DPOY-3ASNBA1,duncati01
4,Kobe Bryant,28,LAL,SG,77,77,3140,26.1,0.58,0.227,0.437,2.8,13.5,8.2,25.5,1.8,0.9,10.9,33.6,10.8,2.2,13,0.199,6.4,-0.5,5.9,6.1,MVP-3DPOY-24ASNBA1,bryanko01
5,Kevin Garnett,30,MIN,PF,76,76,2995,24.1,0.546,0.042,0.371,7.5,30.8,19.5,19.5,1.6,3.2,11.6,27.4,5.7,4.9,10.7,0.171,3.8,1.7,5.4,5.5,MVP-9DPOY-13ASNBA3,garneke01
6,Steve Nash,32,PHO,PG,76,76,2682,23.8,0.654,0.353,0.254,1.4,9.9,5.8,50.1,1.1,0.2,21,22.9,10.8,1.7,12.6,0.225,6.7,-0.8,5.9,5.3,MVP-2ASNBA1,nashst01
7,Tracy McGrady,27,HOU,SG,71,71,2539,23.2,0.515,0.257,0.33,2.6,14.5,8.6,37.5,1.9,1.1,11.2,35,4.1,4.5,8.6,0.163,4.9,1.2,6.1,5.2,MVP-6ASNBA2,mcgratr01
8,Manu Ginóbili,29,SAS,SG,75,36,2060,24.1,0.609,0.378,0.436,3.6,15.1,9.6,22.6,2.8,1,13.4,27.1,6.3,4.3,10.6,0.246,5.3,2.5,7.8,5.1,6MOY-2,ginobma01
9,Gilbert Arenas,25,WAS,PG,74,73,2942,24,0.565,0.377,0.464,2.3,11.1,6.6,27.2,2.4,0.3,11.2,31.4,9.3,1.5,10.8,0.177,5.5,-0.8,4.7,5,MVP-8ASNBA2,arenagi01
10,Jason Kidd,33,NJN,PG,80,80,2933,19.4,0.516,0.398,0.253,5.5,20.8,13.2,41.4,2.3,0.6,17.4,19.4,5.1,4.1,9.3,0.152,3.1,1.5,4.7,4.9,AS,kiddja01
11,Dwyane Wade,25,MIA,SG,51,50,1931,28.9,0.583,0.082,0.556,3.2,11.2,7.3,40.5,3,2.5,15.3,34.7,5.9,2.9,8.8,0.219,6.3,1.8,8.2,4.9,MVP-12ASNBA3,wadedw01
12,Shawn Marion,28,PHO,SF,80,80,3010,20.8,0.594,0.235,0.232,7,22.6,15.2,6.7,2.6,2.8,8.8,19.3,6.7,5.3,12,0.191,2.4,1.9,4.4,4.8,DPOY-4AS,mariosh01
13,Elton Brand,27,LAC,PF,80,80,3077,23.1,0.581,0.001,0.381,10.5,18.3,14.5,14.7,1.3,4.5,12.5,24.3,7.2,4.3,11.5,0.18,3.4,0.8,4.2,4.8,,brandel01
14,Vince Carter,30,NJN,SG,82,82,3126,21.8,0.559,0.273,0.36,4.3,14.2,9.3,25.1,1.4,0.8,10.5,30.8,7.4,3.1,10.5,0.161,4.3,-0.4,3.9,4.6,AS,cartevi01
15,Chauncey Billups,30,DET,PG,70,70,2533,21.3,0.591,0.388,0.536,1.1,10,5.6,32.9,1.8,0.5,12.2,21.5,8.7,2.7,11.4,0.216,4.2,0.5,4.7,4.3,MVP-11ASNBA3,billuch01
16,Carlos Boozer,25,UTA,PF,74,74,2557,24.1,0.588,0,0.322,11.2,29.9,20.6,16.6,1.4,0.7,12.8,26.5,6.5,3.4,9.9,0.185,4.4,0.2,4.6,4.3,MVP-9AS,boozeca01
17,Jason Terry,29,DAL,SG,81,80,2846,18.9,0.587,0.348,0.187,1.8,7.9,4.9,25.5,1.5,0.5,11.7,21.3,7.7,3.1,10.8,0.182,3.9,0.1,4,4.3,,terryja01
18,Chris Paul,21,NOK,PG,64,64,2353,22,0.537,0.164,0.41,2.6,11.3,6.9,41.3,2.7,0.1,13.5,23.1,6.2,2.6,8.8,0.179,3.6,1.4,5,4.2,,paulch01
19,Marcus Camby,32,DEN,C,70,70,2369,19.1,0.519,0.003,0.335,7.9,30.5,19.4,14.1,1.8,7,13.9,15.9,2.5,5.1,7.6,0.155,0.8,3.9,4.7,4,DPOY-1,cambyma01
20,Luol Deng,21,CHI,SF,82,82,3071,18.7,0.56,0.006,0.295,5.5,15.9,10.8,11.8,1.6,1.2,10,22.2,5.7,5.6,11.3,0.176,1.7,1.3,3,3.9,DPOY-20,denglu01
