Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP▼,Awards,Player-additional
1,Nikola Jokić,26,DEN,C,74,74,2476,32.8,0.661,0.22,0.357,9.6,35.5,23,42.6,2.2,2.3,15.6,31.9,10.8,4.5,15.2,0.296,9.2,4.5,13.7,9.8,MVP-1ASNBA1,jokicni01
2,Giannis Antetokounmpo,27,MIL,PF,67,67,2204,32.1,0.633,0.194,0.615,6.6,30.4,18.7,31.7,1.6,4,12.2,34.9,9.2,3.7,12.9,0.281,7.6,3.5,11.2,7.4,MVP-3DPOY-6ASNBA1,antetgi01
3,Joel Embiid,27,PHI,C,68,68,2297,31.2,0.616,0.188,0.602,7.2,31.1,19.4,23.5,1.7,3.9,11.3,37.2,7.9,4.1,12,0.252,7.2,2,9.2,6.5,MVP-2ASNBA2,embiijo01
4,Luka Dončić,22,DAL,PG,65,65,2301,25.1,0.571,0.406,0.349,2.7,26,14.3,46,1.6,1.4,15.3,37.4,3.8,3.8,7.6,0.159,6.4,1.8,8.2,5.9,MVP-5ASNBA1,doncilu01
5,LeBron James,37,LAL,C,56,56,2084,26.2,0.619,0.367,0.275,3.3,20.4,11.8,30.6,1.7,2.5,12.5,32.3,5.2,2.3,7.5,0.172,6.9,0.8,7.7,5.1,MVP-10ASNBA3,jamesle01
6,Trae Young,23,ATL,PG,76,76,2652,25.4,0.603,0.395,0.358,2.1,9.6,5.9,46.7,1.3,0.2,14.5,34.4,9,1,10,0.181,7.1,-2,5.2,4.8,ASNBA3,youngtr01
7,Jayson Tatum,23,BOS,SF,76,76,2731,21.8,0.578,0.416,0.3,3.5,20.2,12.1,21.1,1.4,1.6,10.9,32.1,5,4.6,9.6,0.169,4.3,0.6,5,4.8,MVP-6ASNBA1,tatumja01
8,Kevin Durant,33,BRK,PF,55,55,2047,25.6,0.634,0.269,0.367,1.6,19.6,10.8,29.1,1.1,2.3,12.9,31.2,6.4,2,8.4,0.198,6.4,0.7,7.2,4.8,MVP-10ASNBA2,duranke01
9,Dejounte Murray,25,SAS,PG,68,68,2366,22.3,0.533,0.237,0.199,3.5,21.6,12.5,40.6,2.8,0.8,11.8,27.3,3.9,3.4,7.3,0.149,3.7,1.7,5.4,4.4,AS,murrade01
10,Karl-Anthony Towns,26,MIN,C,74,74,2476,24.1,0.64,0.301,0.385,8.2,23.6,15.7,18,1.4,3.2,13.7,27.8,7.1,3.2,10.3,0.199,4.5,0.5,5,4.4,ASNBA3,townska01
11,Stephen Curry,33,GSW,PG,64,64,2211,21.4,0.601,0.613,0.243,1.7,14.4,8.3,30.4,1.9,1,13.2,30.8,4.6,3.4,8,0.173,5.4,0.4,5.8,4.4,MVP-8ASNBA2,curryst01
12,Jimmy Butler,32,MIA,SF,57,57,1931,23.6,0.592,0.14,0.549,6.1,13.5,9.9,26.4,2.4,1.5,10.5,26.5,6.2,2.9,9.2,0.228,4.5,1.9,6.3,4,AS,butleji01
13,Chris Paul,36,PHO,PG,65,65,2139,20.8,0.581,0.27,0.274,1.1,12.8,7.1,44.5,2.7,0.8,15.6,19.7,5.8,3.6,9.4,0.21,3.1,2.3,5.4,4,MVP-9ASNBA3,paulch01
14,Ja Morant,22,MEM,PG,57,57,1889,24.4,0.575,0.218,0.353,4.2,14.1,9,34.1,1.7,1,12.6,33.7,4.6,2.1,6.7,0.171,6.2,-0.1,6.1,3.9,MVP-7MIP-1ASNBA2,moranja01
15,James Harden,32,2TM,PG,65,65,2419,20.9,0.583,0.452,0.54,2.6,19.7,11.3,40.3,1.7,1.3,18.8,27.2,4.9,2.7,7.6,0.152,3.7,0.3,4,3.7,AS,hardeja01
16,Donovan Mitchell,25,UTA,SG,67,67,2266,21.6,0.572,0.475,0.227,2.7,10.6,6.8,27.7,2.2,0.5,11.7,32.9,4.7,2.5,7.2,0.152,4.6,-0.3,4.3,3.6,AS,mitchdo01
17,Devin Booker,25,PHO,SG,68,68,2345,21.3,0.576,0.336,0.255,2.1,13.2,7.8,22.4,1.6,1,9.3,32,4.3,3.3,7.6,0.156,3.9,0.2,4.1,3.6,MVP-4ASNBA1,bookede01
18,Pascal Siakam,27,TOR,PF,68,68,2578,20.3,0.565,0.181,0.314,5.1,20.1,12.2,23,1.6,1.6,11.6,25.8,4.9,3.2,8.1,0.151,2.7,0.8,3.5,3.6,NBA3,siakapa01
19,Rudy Gobert,29,UTA,C,66,66,2120,24.7,0.732,0.008,0.864,12.9,36.3,25,5.1,1,5.7,14.5,16.9,7.3,4.3,11.7,0.264,2.9,1.7,4.6,3.6,DPOY-3AS,goberru01
20,Fred VanVleet,27,TOR,PG,65,65,2462,17.3,0.552,0.585,0.202,1.8,11.4,6.4,26.7,2.3,1.4,12.5,23.7,3.9,2.8,6.7,0.131,3.1,0.5,3.6,3.5,AS,vanvlfr01
